iter	Logloss
0	0.4703821188
1	0.4333458483
2	0.4195460189
3	0.4117041759
4	0.4084381237
5	0.4072522484
6	0.4042033688
7	0.4027564645
8	0.4018679843
9	0.4006636617
10	0.3991384623
11	0.3986785812
12	0.3968488314
13	0.3961127218
14	0.3948615143
15	0.3924071048
16	0.390558249
17	0.3897392302
18	0.3888419201
19	0.3881850694
20	0.3875225188
21	0.386671776
22	0.3864441682
23	0.3861690895
24	0.3855665418
25	0.3851869347
26	0.3840657147
27	0.3838067973
28	0.3835348793
29	0.3822058296
30	0.381537082
31	0.3813720292
32	0.3809768607
33	0.3804560968
34	0.3801428943
35	0.3796675752
36	0.3792680401
37	0.3790558249
38	0.3789385934
39	0.378683871
40	0.3783091404
41	0.3780893792
42	0.3777065869
43	0.3774931869
44	0.3773989111
45	0.3772825785
46	0.3771366928
47	0.3769867433
48	0.3769296119
49	0.3768175999
50	0.3767382432
51	0.3766863692
52	0.3765593181
53	0.3764995813
54	0.3763787998
55	0.3760855652
56	0.375937227
57	0.3758648226
58	0.3756890501
59	0.3754794917
60	0.3753871024
61	0.3752775029
62	0.3751195893
63	0.3749227903
64	0.3748529146
65	0.3746864611
66	0.3746284254
67	0.3745194296
68	0.3743662536
69	0.3742885995
70	0.3742290766
71	0.3741820123
72	0.3739896204
73	0.3738143518
74	0.373761662
75	0.3737044816
76	0.3736117381
77	0.3734561965
78	0.3733763509
79	0.3732427362
80	0.3731892835
81	0.3730791829
82	0.3729915713
83	0.3728668382
84	0.3728051832
85	0.3726860938
86	0.3726398759
87	0.3725896257
88	0.3725371262
89	0.3724872008
90	0.3724774983
91	0.3724358159
92	0.3723906974
93	0.372236631
94	0.3721730864
95	0.3720619626
96	0.3719663233
97	0.3718704136
98	0.3718064191
99	0.3717865579
100	0.3717318547
101	0.3716481382
102	0.371587168
103	0.3715236867
104	0.3714684414
105	0.3714265734
106	0.3713230894
107	0.3712970793
108	0.3712695173
109	0.371238131
110	0.3711994319
111	0.3711695136
112	0.3710902859
113	0.3710490945
114	0.3710088809
115	0.3709614717
116	0.3708535799
117	0.3707621382
118	0.3706201658
119	0.3705735809
120	0.3704791816
121	0.3703815862
122	0.3703245923
123	0.370288404
124	0.3702352536
125	0.3702077508
126	0.3702022493
127	0.3700879646
128	0.3700599108
129	0.3700457286
130	0.3700044136
131	0.3699715346
132	0.3699399891
133	0.3698119397
134	0.3697638031
135	0.369716341
136	0.3697013506
137	0.3696915219
138	0.3696704883
139	0.3696411939
140	0.3696214246
141	0.3695727257
142	0.369521807
143	0.3694380638
144	0.3694059517
145	0.3693850939
146	0.3693487314
147	0.369248848
148	0.369215139
149	0.3691950461
