iter	Passed	Remaining
0	37	37777
1	77	38882
2	114	38013
3	150	37366
4	186	37044
5	224	37123
6	270	38310
7	309	38365
8	345	37991
9	380	37682
10	412	37089
11	446	36757
12	482	36616
13	522	36826
14	559	36773
15	598	36836
16	632	36590
17	666	36338
18	706	36496
19	753	36923
20	799	37289
21	836	37183
22	874	37126
23	911	37087
24	957	37325
25	994	37270
26	1046	37719
27	1100	38210
28	1145	38337
29	1184	38290
30	1220	38156
31	1258	38061
32	1295	37974
33	1335	37951
34	1374	37902
35	1414	37884
36	1450	37757
37	1488	37683
38	1524	37554
39	1563	37531
40	1609	37644
41	1648	37602
42	1688	37583
43	1727	37532
44	1768	37535
45	1810	37543
46	1856	37640
47	1902	37736
48	1945	37758
49	1986	37740
50	2028	37752
51	2075	37844
52	2118	37853
53	2155	37769
54	2194	37708
55	2238	37735
56	2277	37678
57	2314	37590
58	2349	37466
59	2388	37412
60	2428	37390
61	2477	37489
62	2527	37587
63	2571	37608
64	2618	37661
65	2658	37620
66	2701	37612
67	2747	37658
68	2789	37637
69	2833	37640
70	2872	37591
71	2910	37517
72	2953	37504
73	2998	37522
74	3038	37480
75	3079	37442
76	3114	37339
77	3152	37259
78	3186	37148
79	3223	37072
80	3262	37018
81	3304	36996
82	3343	36944
83	3380	36863
84	3420	36820
85	3461	36788
86	3497	36703
87	3539	36684
88	3577	36618
89	3617	36578
90	3662	36584
91	3701	36535
92	3752	36598
93	3799	36619
94	3852	36698
95	3903	36759
96	3945	36733
97	3981	36647
98	4023	36615
99	4070	36630
100	4113	36618
101	4153	36565
102	4190	36497
103	4236	36497
104	4277	36463
105	4328	36503
106	4368	36458
107	4412	36445
108	4455	36417
109	4494	36367
110	4531	36294
111	4576	36288
112	4618	36252
113	4666	36266
114	4704	36201
115	4757	36252
116	4803	36249
117	4845	36215
118	4886	36177
119	4933	36182
120	4978	36165
121	5019	36120
122	5061	36086
123	5103	36055
124	5140	35983
125	5181	35943
126	5228	35943
127	5275	35937
128	5320	35922
129	5366	35914
130	5408	35876
131	5457	35884
132	5500	35855
133	5552	35881
134	5596	35858
135	5641	35842
136	5691	35855
137	5748	35904
138	5792	35879
139	5834	35842
140	5876	35802
141	5922	35786
142	5964	35746
143	6007	35711
144	6051	35681
145	6097	35664
146	6145	35658
147	6189	35631
148	6234	35609
149	6277	35574
150	6323	35553
151	6373	35554
152	6422	35552
153	6474	35566
154	6523	35565
155	6575	35575
156	6631	35607
157	6687	35639
158	6747	35689
159	6802	35711
160	6856	35728
161	6910	35745
162	6965	35765
163	7011	35743
164	7060	35727
165	7108	35714
166	7156	35696
167	7199	35655
168	7251	35654
169	7306	35672
170	7359	35677
171	7410	35672
172	7460	35664
173	7508	35645
174	7555	35620
175	7601	35587
176	7652	35582
177	7725	35676
178	7789	35727
179	7850	35763
180	7901	35754
181	7953	35748
182	7999	35712
183	8044	35676
184	8090	35643
185	8131	35587
186	8191	35611
187	8240	35590
188	8290	35573
189	8336	35537
190	8383	35510
191	8437	35507
192	8486	35486
193	8534	35459
194	8588	35456
195	8638	35434
196	8691	35428
197	8741	35408
198	8782	35351
199	8832	35329
200	8878	35294
201	8938	35312
202	8986	35281
203	9038	35268
204	9083	35226
205	9135	35212
206	9187	35194
207	9230	35146
208	9276	35107
209	9320	35063
210	9368	35031
211	9416	35002
212	9464	34970
213	9513	34940
214	9560	34905
215	9605	34864
216	9657	34845
217	9702	34805
218	9751	34775
219	9798	34739
220	9846	34709
221	9893	34673
